event_id,ticker,stock_name,event_anchor_at,event_start_at,event_end_at,mention_count,channel_count,channels,market,market_cap_krw,market_data_status,mention_session,baseline_avg_volume,baseline_median_volume,baseline_active_days,event_active_days,event_max_volume_ratio,event_volume_robust_z,event_peak_return_pct,event_peak_abnormal_return_pct,post_data_status,post_observation_days,post_relative_return_pct,post_max_drawdown_pct,market_event_date,news_status,article_count,near_event_article_count,baseline_article_count,news_concentrated,similar_article_count,press_release_expression_observed,distinct_press,has_cp_source,low_tier_targeted_count,roundup_count,low_tier_ratio,press_basis_summary,low_tier_ratio_note,disclosure_status,disclosure_count,material_disclosure_observed,material_disclosure_count,volume_ratio_anomaly,volume_robust_z_anomaly,volume_concentrated,price_concentrated,post_underperformed,post_large_drawdown,multi_source_concentrated,low_tier_targeted_concentration,single_low_tier,low_tier_ratio_borderline,pattern_status,reason_badges
EVT-C8BDC82F87,065060,지엔코,2026-06-01 07:08:31+09:00,2026-05-29 16:36:56+09:00,2026-06-01 08:49:25+09:00,3,2,crioppstockfree; jeilstock,KOSDAQ,19109331340,확인,장전,67556.53333333334,34354.0,15,3,29.02986551784363,4.53235790603004,18.56899488926746,20.9015218710315,15거래일 관찰 완료,15,1.907353371684195,-30.10501750291715,2026-06-01,확인,17,2,8,False,2,False,11,True,0,0,0.8823529411764706,"미분류: 포털 CP 미등재 + 네이버 인링크 미관측(조회 2026-07) · 포털 CP 등재(다음 news.daum.net/cplist·네이트 경제 CP, 조회 2026-07)","보조지표(2026-06 표본 예측력 약함 r≈0.02, 재검증 대상; 단독 사용 안 함, 타깃광고 경계에서만 보조)",관찰 기간 내 공시 확인,2,False,0,True,True,True,True,False,True,False,False,False,False,주의 패턴 관찰,기준 중앙값 대비 거래량 이상; MAD 기준 거래량 이상치; 코스닥 대비 단기 초과상승; 언급 후 고점 대비 큰 하락; 복수 Telegram 채널 언급; 유사 기사 반복 관찰; 관찰 기간 내 공시 확인
EVT-89B3DC0F01,475660,에스켐,2026-06-01 11:36:35+09:00,2026-05-29 21:25:00+09:00,2026-06-01 11:36:35+09:00,2,1,crioppstockfree,KOSDAQ,26604596425,확인,장중,22072.2,20873.0,15,3,4.995257030613711,4.160354435870563,13.79716981132075,16.10178462337881,15거래일 관찰 완료,15,-13.29802321463404,-28.39378238341969,2026-06-01,확인,16,4,8,False,0,False,6,True,0,0,0.75,네이버 인링크(CP) 관측(oid=018) · 네이버 인링크(CP) 관측(oid=277) · 미분류: 포털 CP 미등재 + 네이버 인링크 미관측(조회 2026-07),"보조지표(2026-06 표본 예측력 약함 r≈0.02, 재검증 대상; 단독 사용 안 함, 타깃광고 경계에서만 보조)",관찰 기간 내 공시 확인,3,True,2,True,True,True,True,True,True,False,False,False,False,주의 패턴 관찰,기준 중앙값 대비 거래량 이상; MAD 기준 거래량 이상치; 코스닥 대비 단기 초과상승; 언급 후 코스닥 대비 하락; 언급 후 고점 대비 큰 하락; 중요 공시 후보 제목 관찰
EVT-4D0FB1107F,355390,크라우드웍스,2026-06-01 12:00:27+09:00,2026-06-01 12:00:27+09:00,2026-06-01 21:52:42+09:00,6,3,crioppstockfree; mbngoldcsi; numt7777,KOSDAQ,23700395592,확인,장중,171088.2666666667,181494.0,15,3,12.34768091507157,6.90863942881276,29.86247544204321,32.16709025410127,15거래일 관찰 완료,15,-14.10242540004945,-29.1981845688351,2026-06-01,기사 미확인,0,0,0,False,0,False,0,False,0,0,0.0,,"보조지표(2026-06 표본 예측력 약함 r≈0.02, 재검증 대상; 단독 사용 안 함, 타깃광고 경계에서만 보조)",관찰 기간 내 공시 확인,1,False,0,True,True,True,True,True,True,False,False,False,False,주의 패턴 관찰,기준 중앙값 대비 거래량 이상; MAD 기준 거래량 이상치; 코스닥 대비 단기 초과상승; 언급 후 코스닥 대비 하락; 언급 후 고점 대비 큰 하락; 복수 Telegram 채널 언급; 관찰 기간 내 공시 확인; 뉴스: 기사 미확인
EVT-486DE9D34F,219750,한국비티비,2026-06-01 15:00:22+09:00,2026-06-01 15:00:22+09:00,2026-06-04 08:47:48+09:00,7,3,crioppstockfree; jeilstock; numt7777,KOSDAQ,25006155447,확인,장중,12796.73333333333,10562.0,15,2,47.71823518273055,5.465236371940123,29.86348122866893,32.16809604072699,15거래일 관찰 완료,15,-9.871389320044832,-24.96714848883048,2026-06-01,확인,20,15,4,False,0,True,16,True,1,6,0.6,"네이버 인링크(CP) 관측(oid=018) · 네이버 인링크(CP) 관측(oid=081) · 네이버 인링크(CP) 관측(oid=366) · 미분류: 포털 CP 미등재 + 네이버 인링크 미관측(조회 2026-07) · 포털 CP 등재(다음 news.daum.net/cplist·네이트 경제 CP, 조회 2026-07)","보조지표(2026-06 표본 예측력 약함 r≈0.02, 재검증 대상; 단독 사용 안 함, 타깃광고 경계에서만 보조)",관찰 기간 내 공시 확인,1,True,1,True,True,True,True,False,True,False,False,False,False,주의 패턴 관찰,기준 중앙값 대비 거래량 이상; MAD 기준 거래량 이상치; 코스닥 대비 단기 초과상승; 언급 후 고점 대비 큰 하락; 복수 Telegram 채널 언급; 보도자료성 표현 관찰; 중요 공시 후보 제목 관찰
EVT-6F69498D4B,417860,오브젠,2026-06-01 15:24:00+09:00,2026-05-31 23:51:31+09:00,2026-06-01 23:39:41+09:00,4,2,crioppstockfree; selfstudyview,KOSDAQ,27864883520,확인,장중,56984.93333333333,37257.0,15,3,39.12166841130526,7.628477167138909,29.90033222591362,32.20494703797168,15거래일 관찰 완료,15,-18.23757416454769,-44.02290622763063,2026-06-01,확인,82,20,21,False,9,True,36,True,4,17,0.573170731707317,"네이버 인링크(CP) 관측(oid=003) · 네이버 인링크(CP) 관측(oid=009) · 네이버 인링크(CP) 관측(oid=015) · 네이버 인링크(CP) 관측(oid=016) · 네이버 인링크(CP) 관측(oid=018) · 네이버 인링크(CP) 관측(oid=025) · 네이버 인링크(CP) 관측(oid=081) · 네이버 인링크(CP) 관측(oid=088) · 네이버 인링크(CP) 관측(oid=092) · 네이버 인링크(CP) 관측(oid=243) · 네이버 인링크(CP) 관측(oid=277) · 네이버 인링크(CP) 관측(oid=366) · 네이버 인링크(CP) 관측(oid=374) · 네이버 인링크(CP) 관측(oid=658) · 미분류: 포털 CP 미등재 + 네이버 인링크 미관측(조회 2026-07) · 포털 CP 등재(다음 news.daum.net/cplist·네이트 경제 CP, 조회 2026-07)","보조지표(2026-06 표본 예측력 약함 r≈0.02, 재검증 대상; 단독 사용 안 함, 타깃광고 경계에서만 보조)",관찰 기간 내 공시 미확인,0,False,0,True,True,True,True,True,True,False,False,False,False,주의 패턴 관찰,기준 중앙값 대비 거래량 이상; MAD 기준 거래량 이상치; 코스닥 대비 단기 초과상승; 언급 후 코스닥 대비 하락; 언급 후 고점 대비 큰 하락; 복수 Telegram 채널 언급; 유사 기사 반복 관찰; 보도자료성 표현 관찰; 관찰 기간 내 공시 미확인
EVT-177E959548,900270,헝셩그룹,2026-06-01 20:44:23+09:00,2026-06-01 20:44:23+09:00,2026-06-02 20:36:37+09:00,9,3,crioppstockfree; mbngoldcsi; numt7777,KOSDAQ,11272595481,확인,장후,151861.6,141898.0,15,3,70.85729890484714,5.45335864764971,30.65573770491803,32.28564898145768,15거래일 관찰 완료,15,5.95343928929708,-30.1129234629862,2026-06-02,확인,26,21,1,False,2,True,17,True,1,5,0.6153846153846154,"네이버 인링크(CP) 관측(oid=003) · 네이버 인링크(CP) 관측(oid=018) · 네이버 인링크(CP) 관측(oid=081) · 네이버 인링크(CP) 관측(oid=277) · 미분류: 포털 CP 미등재 + 네이버 인링크 미관측(조회 2026-07) · 포털 CP 등재(다음 news.daum.net/cplist·네이트 경제 CP, 조회 2026-07)","보조지표(2026-06 표본 예측력 약함 r≈0.02, 재검증 대상; 단독 사용 안 함, 타깃광고 경계에서만 보조)",관찰 기간 내 공시 확인,6,False,0,True,True,True,True,False,True,False,False,False,False,주의 패턴 관찰,기준 중앙값 대비 거래량 이상; MAD 기준 거래량 이상치; 코스닥 대비 단기 초과상승; 언급 후 고점 대비 큰 하락; 복수 Telegram 채널 언급; 유사 기사 반복 관찰; 보도자료성 표현 관찰; 관찰 기간 내 공시 확인
EVT-1B2431935B,032860,더라미,2026-06-02 07:02:01+09:00,2026-06-02 07:02:01+09:00,2026-06-02 07:02:01+09:00,1,1,crioppstockfree,KOSDAQ,25408997827,확인,장전,209341.4,144587.0,15,3,3.166840725653067,1.620215783993381,7.598371777476265,12.13062323695837,15거래일 관찰 완료,15,-12.67142048073407,-29.07975460122699,2026-06-02,확인,9,4,5,False,0,False,6,True,0,0,0.8888888888888888,네이버 인링크(CP) 관측(oid=018) · 미분류: 포털 CP 미등재 + 네이버 인링크 미관측(조회 2026-07),"보조지표(2026-06 표본 예측력 약함 r≈0.02, 재검증 대상; 단독 사용 안 함, 타깃광고 경계에서만 보조)",관찰 기간 내 공시 확인,3,False,0,True,False,True,True,True,True,False,False,False,False,주의 패턴 관찰,기준 중앙값 대비 거래량 이상; 코스닥 대비 단기 초과상승; 언급 후 코스닥 대비 하락; 언급 후 고점 대비 큰 하락; 관찰 기간 내 공시 확인
EVT-42D46F5202,188040,바이오포트,2026-06-02 07:02:01+09:00,2026-06-02 07:02:01+09:00,2026-06-02 07:02:01+09:00,1,1,crioppstockfree,KOSDAQ,24472780840,확인,장전,29901.33333333333,19569.0,15,3,12.82804435586898,7.858640027025849,4.338394793926237,8.436806774015725,15거래일 관찰 완료,15,-0.4744261549618045,-21.04283054003724,2026-06-02,기사 미확인,0,0,0,False,0,False,0,False,0,0,0.0,,"보조지표(2026-06 표본 예측력 약함 r≈0.02, 재검증 대상; 단독 사용 안 함, 타깃광고 경계에서만 보조)",관찰 기간 내 공시 확인,1,True,1,True,True,True,True,False,True,False,False,False,False,주의 패턴 관찰,기준 중앙값 대비 거래량 이상; MAD 기준 거래량 이상치; 코스닥 대비 단기 초과상승; 언급 후 고점 대비 큰 하락; 중요 공시 후보 제목 관찰; 뉴스: 기사 미확인
EVT-6C87710BD7,225430,케이엠제약,2026-06-02 10:00:22+09:00,2026-06-02 10:00:22+09:00,2026-06-02 15:00:23+09:00,6,1,numt7777,KOSDAQ,8087244500,확인,장중,415442.5555555556,244869.0,9,3,12.20769472656808,3.796820661094235,29.80295566502462,32.0886046464823,15거래일 관찰 완료,15,-20.61652417182264,-32.0303605313093,2026-06-02,기사 미확인,0,0,0,False,0,False,0,False,0,0,0.0,,"보조지표(2026-06 표본 예측력 약함 r≈0.02, 재검증 대상; 단독 사용 안 함, 타깃광고 경계에서만 보조)",관찰 기간 내 공시 확인,4,False,0,True,True,True,True,True,True,False,False,False,False,주의 패턴 관찰,기준 중앙값 대비 거래량 이상; MAD 기준 거래량 이상치; 코스닥 대비 단기 초과상승; 언급 후 코스닥 대비 하락; 언급 후 고점 대비 큰 하락; 관찰 기간 내 공시 확인; 뉴스: 기사 미확인
EVT-4C1C43FA92,192390,윈하이텍,2026-06-02 11:24:32+09:00,2026-06-02 11:24:32+09:00,2026-06-03 12:29:31+09:00,3,1,crioppstockfree,KOSDAQ,20100721238,확인,장중,38841.6,37803.0,15,3,15.99537073777213,4.018005861378643,28.14710042432815,32.67935188381026,15거래일 관찰 완료,15,18.13085258276725,-15.21276595744681,2026-06-02,확인,11,6,2,False,3,True,10,True,1,0,0.7272727272727273,네이버 인링크(CP) 관측(oid=016) · 네이버 인링크(CP) 관측(oid=018) · 네이버 인링크(CP) 관측(oid=277) · 미분류: 포털 CP 미등재 + 네이버 인링크 미관측(조회 2026-07),"보조지표(2026-06 표본 예측력 약함 r≈0.02, 재검증 대상; 단독 사용 안 함, 타깃광고 경계에서만 보조)",관찰 기간 내 공시 확인,1,True,1,True,True,True,True,False,True,False,False,False,False,주의 패턴 관찰,기준 중앙값 대비 거래량 이상; MAD 기준 거래량 이상치; 코스닥 대비 단기 초과상승; 언급 후 고점 대비 큰 하락; 유사 기사 반복 관찰; 보도자료성 표현 관찰; 중요 공시 후보 제목 관찰
