user_id,age,birth_year,birth_month,gender,employment_type,marital_status,marriage_years,has_newborn_within_2y,is_household_head,is_homeless,annual_income,spouse_income,combined_annual_income,credit_score_kcb,total_existing_debt,net_asset,has_existing_jeonse_loan
U0001,35,1991,12,여,계약직,기혼,4,N,Y,N,3609,1294,4903,795,6383,0,N
U0002,35,1991,12,여,계약직,기혼,12,N,Y,Y,7400,5569,12969,734,9366,5648,Y
U0003,22,2004,5,남,무직,미혼,0,N,N,Y,1196,0,1196,813,1121,1237,N
U0004,36,1990,1,남,정규직,미혼,0,N,Y,Y,7175,0,7175,739,9662,21692,N
U0005,43,1983,10,남,프리랜서,미혼,0,N,Y,Y,8450,0,8450,716,9587,0,N
U0006,44,1982,7,남,프리랜서,이혼,0,N,Y,Y,7991,0,7991,719,11159,27412,N
U0007,27,1999,12,여,자영업,미혼,0,N,Y,Y,2653,0,2653,664,3817,11950,Y
U0008,46,1980,1,남,정규직,사별,0,N,N,Y,3497,0,3497,633,5944,2338,N
U0009,35,1991,12,여,계약직,미혼,0,N,Y,Y,8969,0,8969,873,2515,10933,N
U0010,24,2002,5,여,정규직,미혼,0,N,N,Y,1792,0,1792,953,6262,7581,Y
U0011,37,1989,5,남,정규직,기혼,17,N,Y,Y,4474,1304,5778,637,7914,3789,N
U0012,19,2007,6,남,학생,미혼,0,N,Y,Y,3026,0,3026,521,10297,0,N
U0013,28,1998,5,남,계약직,기혼,1,N,Y,Y,3158,2465,5623,600,9631,145,N
U0014,40,1986,12,여,계약직,기혼,16,N,Y,N,4331,163,4494,885,6610,10829,N
U0015,27,1999,4,여,자영업,기혼,6,N,Y,N,5154,1318,6472,717,5176,11587,N
U0016,28,1998,3,남,프리랜서,미혼,0,N,N,Y,5889,0,5889,719,9387,26818,N
U0017,32,1994,11,여,정규직,기혼,7,N,Y,Y,4623,3264,7887,495,12033,7879,N
U0018,22,2004,6,여,프리랜서,미혼,0,N,Y,Y,2953,0,2953,650,6037,9575,N
U0019,31,1995,12,남,정규직,기혼,2,N,Y,N,5041,2841,7882,820,15294,0,N
U0020,48,1978,4,남,계약직,기혼,7,N,Y,Y,7076,1311,8387,778,17323,24393,N
U0021,39,1987,11,남,무직,기혼,18,N,N,Y,5999,1890,7889,619,17838,21000,N
U0022,46,1980,5,여,정규직,기혼,14,N,Y,Y,5028,2113,7141,716,5720,12621,N
