user_id,region,district,is_capital_area,property_type,exclusive_area_sqm,deposit_amount,market_price_estimate,senior_bond_amount,loan_amount_requested,deposit_to_market_ratio_pct,senior_plus_deposit_to_market_pct,settlement_date,repayment_method,interest_rate_type,financial_sector,dsr_estimated_pct,info_completeness
U0001,대전,서구,N,다세대,80.3,2627,4558,1114,1842,57.6,82.1,2026-10-01,원리금균등,고정,은행,6.3,Y
U0002,대구,달서구,N,오피스텔,31.5,11342,19951,1136,7977,56.8,62.5,2026-12-19,원리금균등,변동,은행,5.3,Y
U0003,경기,화성시,Y,오피스텔,43.6,8429,9851,2569,6160,85.6,111.6,2026-10-24,만기일시,고정,은행,24.3,N
U0004,부산,해운대구,N,다세대,59.3,7703,12285,480,5509,62.7,66.6,2026-09-12,만기일시,혼합,은행,8.0,Y
U0005,울산,남구,N,아파트,131.3,20966,23541,4004,13846,89.1,106.1,2026-08-08,원리금균등,변동,2금융권,11.1,Y
U0006,서울,강북구,Y,아파트,98.9,29949,37052,921,22302,80.8,83.3,2026-07-15,원금균등,고정,은행,13.8,Y
U0007,부산,수영구,N,다세대,79.6,4631,5617,1054,3108,82.4,101.2,2026-11-02,원리금균등,혼합,은행,9.1,Y
U0008,인천,계양구,Y,오피스텔,50.1,12843,21090,5392,9857,60.9,86.5,2026-11-08,원리금균등,고정,은행,17.6,Y
U0009,서울,구로구,Y,다세대,62.6,5232,5858,1348,3844,89.3,112.3,2026-09-11,원리금균등,변동,은행,2.5,Y
U0010,인천,남동구,Y,오피스텔,31.0,8890,15635,3850,6594,56.9,81.5,2026-12-21,만기일시,고정,2금융권,30.4,Y
U0011,제주,서귀포시,N,아파트,70.4,5051,9510,538,3618,53.1,58.8,2026-11-27,원리금균등,고정,2금융권,7.9,Y
U0012,세종,나성동,N,오피스텔,48.5,20552,25715,1463,15825,79.9,85.6,2026-10-20,원리금균등,고정,2금융권,28.5,Y
U0013,서울,송파구,Y,아파트,104.8,43175,81341,15266,34146,53.1,71.8,2026-09-11,원리금균등,변동,2금융권,23.4,Y
U0014,경북,포항시,N,아파트,40.8,15453,20563,2259,12010,75.1,86.1,2026-09-21,만기일시,고정,은행,16.4,Y
U0015,서울,용산구,Y,연립,79.1,33755,56559,13042,23378,59.7,82.7,2026-12-12,원금균등,고정,2금융권,17.0,Y
U0016,서울,마포구,Y,다세대,18.4,27280,46500,1735,19472,58.7,62.4,2026-11-16,원금균등,고정,은행,15.8,Y
U0017,경남,김해시,N,다세대,39.1,4011,5186,493,2800,77.3,86.8,2026-08-11,원리금균등,고정,은행,7.4,Y
U0018,서울,성북구,Y,아파트,76.7,81548,143555,27042,61992,56.8,75.6,2026-09-01,원금균등,고정,은행,94.2,Y
U0019,서울,구로구,Y,아파트,117.2,76890,97222,2787,50202,79.1,82.0,2026-10-04,원리금균등,변동,2금융권,30.6,Y
U0020,대구,달서구,N,오피스텔,19.0,3001,3947,936,2382,76.0,99.7,2026-08-26,원리금균등,변동,2금융권,9.2,Y
U0021,제주,서귀포시,N,다세대,51.5,16809,31444,2972,12964,53.5,62.9,2026-11-07,원금균등,변동,은행,14.9,Y
U0022,서울,구로구,Y,아파트,34.1,85949,96501,24321,62166,89.1,114.3,2026-11-05,만기일시,혼합,은행,38.2,Y
U0023,서울,강북구,Y,다세대,91.2,25395,30799,7962,17560,82.5,108.3,2026-11-18,만기일시,고정,은행,18.2,Y
U0024,서울,마포구,Y,오피스텔,25.6,30713,35227,806,22229,87.2,89.5,2026-07-20,원리금균등,고정,은행,24.2,Y
U0025,경기,남양주시,Y,아파트,107.0,24250,29045,763,15772,83.5,86.1,2026-12-06,원금균등,고정,은행,9.0,Y
U0026,제주,제주시,N,아파트,51.6,8498,14333,2855,5892,59.3,79.2,2026-09-22,만기일시,고정,은행,15.2,Y
U0027,충북,충주시,N,오피스텔,22.3,13914,22117,3806,9235,62.9,80.1,2026-09-30,원금균등,변동,2금융권,10.7,Y
U0028,충북,충주시,N,아파트,91.1,14641,21577,3338,9630,67.9,83.3,2026-08-09,원금균등,변동,은행,15.4,Y
U0029,경기,평택시,Y,아파트,94.7,41920,76864,13673,32777,54.5,72.3,2026-09-15,원금균등,고정,2금융권,13.7,Y
U0030,대전,중구,N,아파트,128.9,10510,13878,2297,8272,75.7,92.3,2026-12-23,만기일시,혼합,은행,29.1,Y
U0031,서울,성북구,Y,오피스텔,53.5,15780,20816,5236,12055,75.8,101.0,2026-07-16,만기일시,고정,은행,15.6,Y
U0032,서울,동작구,Y,다세대,31.9,9427,14782,1979,7094,63.8,77.2,2026-12-03,원리금균등,고정,은행,2.1,Y
U0033,서울,성북구,Y,다세대,94.4,13152,24742,5700,9090,53.2,76.2,2026-07-19,만기일시,혼합,2금융권,12.9,Y
U0034,서울,동작구,Y,아파트,47.7,82951,110135,16017,56417,75.3,89.9,2026-10-08,만기일시,변동,은행,24.9,Y
U0035,서울,광진구,Y,아파트,116.9,32449,44581,9964,22900,72.8,95.1,2026-11-04,원리금균등,변동,2금융권,12.6,Y
U0036,광주,서구,N,연립,69.6,16991,31503,4621,12936,53.9,68.6,2026-10-21,만기일시,고정,은행,22.4,Y
U0037,충북,청주시,N,다세대,67.4,14144,15108,4160,9710,93.6,121.2,2026-11-28,원리금균등,고정,2금융권,9.0,Y
U0038,전북,익산시,N,아파트,62.7,4972,7000,278,3279,71.0,75.0,2026-10-07,만기일시,변동,은행,2.3,Y
U0039,충남,아산시,N,아파트,99.9,8251,12209,1838,6345,67.6,82.6,2026-12-21,만기일시,혼합,은행,2.4,Y
U0040,대구,중구,N,아파트,115.7,18330,27915,5730,13459,65.7,86.2,2026-08-07,원금균등,고정,은행,9.7,Y
U0041,경남,창원시,N,다세대,68.7,16023,17218,1647,12247,93.1,102.6,2026-10-04,원리금균등,고정,은행,5.8,Y
U0042,부산,부산진구,N,아파트,102.2,15642,20042,4643,11307,78.0,101.2,2026-09-14,원리금균등,혼합,은행,23.7,Y
U0043,광주,북구,N,아파트,111.8,12255,21549,6080,8098,56.9,85.1,2026-07-17,원금균등,고정,2금융권,17.2,Y
U0044,서울,서초구,Y,아파트,130.5,70173,86898,23696,46416,80.8,108.0,2026-11-19,만기일시,고정,2금융권,20.9,Y
U0045,전북,익산시,N,오피스텔,42.9,5444,6032,934,3786,90.3,105.7,2026-07-21,원금균등,변동,은행,5.3,Y
U0046,세종,나성동,N,연립,91.7,11285,19628,5753,8998,57.5,86.8,2026-12-19,원리금균등,고정,은행,22.8,N
U0047,전북,전주시,N,아파트,98.3,5258,7084,2399,3969,74.2,108.1,2026-12-06,만기일시,혼합,은행,6.0,Y
U0048,서울,송파구,Y,아파트,119.3,77139,138937,1836,54037,55.5,56.8,2026-08-09,만기일시,고정,은행,27.9,Y
U0049,제주,제주시,N,아파트,139.1,21697,31296,3086,15346,69.3,79.2,2026-08-17,원리금균등,혼합,은행,16.1,Y
U0050,서울,성북구,Y,오피스텔,33.1,16290,22283,3012,10788,73.1,86.6,2026-09-26,원리금균등,혼합,은행,13.4,Y
U0051,대전,서구,N,아파트,59.7,14960,23628,519,11602,63.3,65.5,2026-11-21,원리금균등,변동,은행,15.8,Y
U0052,충남,천안시,N,아파트,85.7,14896,28062,2491,9719,53.1,62.0,2026-10-03,원리금균등,혼합,은행,28.8,Y
U0053,서울,용산구,Y,오피스텔,28.5,13612,18900,5394,9814,72.0,100.6,2026-12-19,원리금균등,고정,2금융권,10.3,Y
U0054,경북,구미시,N,아파트,100.5,18536,28057,3154,12271,66.1,77.3,2026-09-23,원금균등,변동,은행,8.3,Y
U0055,부산,부산진구,N,아파트,120.2,9643,13263,2633,7143,72.7,92.6,2026-10-09,원금균등,변동,은행,13.2,Y
U0056,인천,계양구,Y,다세대,94.9,10206,11894,308,6898,85.8,88.4,2026-07-29,만기일시,혼합,2금융권,11.3,Y
U0057,경기,시흥시,Y,아파트,132.0,17128,23781,5967,12363,72.0,97.1,2026-10-19,만기일시,고정,2금융권,4.7,Y
U0058,서울,구로구,Y,다세대,44.6,33168,60057,17781,22806,55.2,84.8,2026-11-25,원금균등,고정,은행,19.5,Y
U0059,서울,동작구,Y,아파트,104.6,50847,80495,8161,40347,63.2,73.3,2026-10-18,원금균등,변동,은행,38.2,Y
U0060,서울,마포구,Y,아파트,65.5,41964,66012,5736,32723,63.6,72.3,2026-09-28,만기일시,혼합,은행,25.8,Y
U0061,경기,화성시,Y,아파트,62.6,40531,56450,894,26656,71.8,73.4,2026-10-07,만기일시,고정,은행,13.5,Y
U0062,서울,강남구,Y,아파트,70.3,48952,70415,14941,35604,69.5,90.7,2026-12-10,원금균등,고정,2금융권,19.2,Y
U0063,경남,창원시,N,다세대,62.9,5825,9231,2002,4521,63.1,84.8,2026-09-07,원리금균등,변동,은행,12.4,Y
U0064,충북,충주시,N,아파트,52.4,20286,27203,3373,15535,74.6,87.0,2026-12-18,만기일시,고정,은행,13.9,N
U0065,경기,고양시,Y,아파트,65.2,67703,91021,14093,46611,74.4,89.9,2026-08-27,만기일시,고정,은행,22.8,Y
U0066,부산,동래구,N,오피스텔,21.3,15231,27394,4561,11386,55.6,72.2,2026-09-18,원금균등,고정,은행,21.0,Y
U0067,부산,해운대구,N,아파트,100.5,20605,27503,4374,15375,74.9,90.8,2026-08-10,만기일시,변동,은행,18.5,Y
U0068,서울,성북구,Y,아파트,108.0,26413,30891,3499,18151,85.5,96.8,2026-09-05,원금균등,혼합,2금융권,49.6,Y
U0069,인천,연수구,Y,아파트,116.7,59248,83153,15985,42696,71.3,90.5,2026-12-24,원리금균등,혼합,은행,16.4,Y
U0070,서울,용산구,Y,다세대,55.6,31866,45526,887,21344,70.0,71.9,2026-11-28,원리금균등,변동,은행,17.3,Y
U0071,경남,김해시,N,아파트,132.8,11246,20575,2718,7445,54.7,67.9,2026-11-22,원리금균등,변동,은행,44.0,Y
U0072,경남,창원시,N,아파트,106.9,14491,26748,8323,9942,54.2,85.3,2026-12-06,원리금균등,변동,은행,5.8,Y
U0073,세종,조치원읍,N,아파트,49.0,15374,19031,2002,10134,80.8,91.3,2026-08-20,만기일시,변동,은행,29.5,Y
U0074,충남,아산시,N,오피스텔,39.6,5115,6427,457,3821,79.6,86.7,2026-10-09,원리금균등,변동,2금융권,10.5,Y
U0075,경남,김해시,N,오피스텔,46.0,16223,22504,1885,11328,72.1,80.5,2026-11-03,만기일시,변동,은행,19.9,Y
U0076,강원,원주시,N,아파트,69.9,9907,17420,3044,7412,56.9,74.3,2026-09-10,원금균등,혼합,은행,5.5,Y
U0077,강원,춘천시,N,오피스텔,24.6,16290,17231,3050,11500,94.5,112.2,2026-12-24,만기일시,혼합,은행,21.8,Y
U0078,서울,동작구,Y,연립,80.8,12287,17047,2226,8735,72.1,85.1,2026-09-02,원금균등,변동,2금융권,6.8,Y
U0079,대전,유성구,N,오피스텔,45.8,13552,17352,5613,10200,78.1,110.4,2026-11-23,만기일시,변동,은행,7.8,Y
U0080,세종,나성동,N,단독,28.8,21775,36267,6357,17336,60.0,77.6,2026-10-26,원리금균등,혼합,은행,58.8,Y
U0081,대구,북구,N,아파트,112.7,14861,24947,2765,9897,59.6,70.7,2026-09-23,원금균등,고정,은행,7.8,Y
U0082,경북,포항시,N,다세대,31.1,9924,11591,1222,7185,85.6,96.2,2026-10-26,원금균등,변동,은행,19.8,Y
U0083,울산,북구,N,다세대,71.5,11841,14221,1982,8263,83.3,97.2,2026-12-16,원금균등,혼합,2금융권,8.3,Y
U0084,제주,서귀포시,N,다세대,28.7,8405,10630,573,5997,79.1,84.5,2026-10-29,만기일시,변동,은행,5.8,Y
U0085,전남,여수시,N,오피스텔,29.3,18027,20552,709,12318,87.7,91.2,2026-11-26,만기일시,변동,은행,9.0,Y
U0086,서울,용산구,Y,연립,44.8,7026,11689,1851,4638,60.1,75.9,2026-08-05,원리금균등,혼합,은행,16.3,Y
U0087,충북,충주시,N,아파트,111.9,6513,11004,3115,4295,59.2,87.5,2026-11-21,원리금균등,고정,은행,9.1,Y
U0088,전남,목포시,N,아파트,59.7,4781,6537,323,3386,73.1,78.1,2026-12-01,원금균등,변동,은행,3.4,Y
U0089,서울,관악구,Y,오피스텔,36.5,6563,7063,1881,4553,92.9,119.6,2026-11-21,원금균등,고정,은행,2.6,Y
U0090,경기,파주시,Y,아파트,131.0,14514,18482,5577,9623,78.5,108.7,2026-08-06,원리금균등,고정,은행,4.9,Y
U0091,충남,천안시,N,아파트,117.0,10526,11583,1124,7877,90.9,100.6,2026-08-09,원리금균등,고정,은행,3.8,Y
U0092,충북,충주시,N,아파트,33.3,17596,29435,7530,12647,59.8,85.4,2026-10-06,원리금균등,혼합,은행,17.2,N
U0093,광주,서구,N,연립,94.4,10842,20560,6544,8482,52.7,84.6,2026-09-15,원리금균등,변동,은행,2.0,Y
U0094,부산,해운대구,N,다세대,80.9,21769,30672,1419,14381,71.0,75.6,2026-08-02,원리금균등,고정,2금융권,3.7,Y
U0095,경기,고양시,Y,단독,63.4,15905,29723,3272,10672,53.5,64.5,2026-07-28,원리금균등,변동,은행,19.8,Y
U0096,서울,서초구,Y,오피스텔,14.6,15194,20041,2713,11788,75.8,89.4,2026-11-23,만기일시,고정,은행,20.1,N
U0097,경기,안양시,Y,아파트,41.9,83832,157450,8562,58600,53.2,58.7,2026-12-20,만기일시,변동,은행,88.2,Y
U0098,서울,성북구,Y,연립,78.3,26344,31400,1395,20210,83.9,88.3,2026-08-06,원리금균등,고정,은행,21.6,Y
U0099,경기,용인시,Y,아파트,73.8,83778,100711,33851,54900,83.2,116.8,2026-12-21,원금균등,고정,은행,41.0,Y
U0100,경남,김해시,N,아파트,94.9,2655,3241,640,1847,81.9,101.7,2026-11-02,원금균등,변동,은행,9.3,Y
U0101,대구,달서구,N,연립,36.3,12095,13316,4646,9153,90.8,125.7,2026-09-04,만기일시,고정,2금융권,29.7,Y
U0102,경북,구미시,N,아파트,63.5,3956,4835,1320,2918,81.8,109.1,2026-08-18,원금균등,변동,은행,2.6,Y
U0103,서울,영등포구,Y,아파트,124.9,25562,47527,14216,18747,53.8,83.7,2026-07-31,원금균등,고정,2금융권,11.7,Y
U0104,인천,연수구,Y,단독,25.1,30266,52589,2255,23951,57.6,61.8,2026-11-30,원금균등,혼합,은행,35.5,Y
U0105,서울,노원구,Y,아파트,132.1,53013,84086,23608,40779,63.0,91.1,2026-10-06,원금균등,변동,은행,54.3,Y
U0106,대전,유성구,N,아파트,106.6,7697,13422,4309,5068,57.3,89.5,2026-09-01,만기일시,혼합,2금융권,6.6,Y
U0107,충남,아산시,N,아파트,37.3,3595,5613,39,2595,64.0,64.7,2026-12-11,원리금균등,혼합,은행,1.9,Y
U0108,서울,마포구,Y,오피스텔,47.7,17543,27953,4767,12238,62.8,79.8,2026-11-27,만기일시,혼합,은행,10.6,Y
U0109,대전,중구,N,다세대,90.1,5243,8827,735,4181,59.4,67.7,2026-07-29,만기일시,변동,은행,8.2,Y
U0110,세종,나성동,N,아파트,86.7,19349,31023,7461,13049,62.4,86.4,2026-07-15,원금균등,고정,은행,53.8,Y
U0111,서울,구로구,Y,다세대,38.4,12727,15933,277,9364,79.9,81.6,2026-08-15,원리금균등,고정,은행,9.6,Y
